序號,河川名稱,河川代碼,階層,上游河川,主流水系
,老湖口排水,128021,3,波羅汶排水,新豐溪
,糞箕窩排水,128022,3,波羅汶排水,新豐溪
,北勢排水,128030,2,新豐溪,新豐溪
,長安嶺排水,128031,3,北勢排水,新豐溪
,崩坡缺1號,12803A,4,長安嶺排水,新豐溪
,北窩排水,128032,3,北勢排水,新豐溪
,中崙排水,128040,2,新豐溪,新豐溪
,中崙支線,128041,3,中崙排水,新豐溪
,上坑排水（茄苳溪）,128050,2,新豐溪,新豐溪
,坑子口支線,128051,3,上坑排水（茄苳溪）,新豐溪
29.0,鳳山溪,129000,1,,鳳山溪
,霄裡溪,129010,2,鳳山溪,鳳山溪
,蔡屋坑幹線,129011,3,霄裡溪,鳳山溪
,箭竹窩幹線,129012,3,霄裡溪,鳳山溪
,九芎湖幹線,129013,3,霄裡溪,鳳山溪
,汶水坑幹線,129014,3,霄裡溪,鳳山溪
,鹿鳴坑幹線,129015,3,霄裡溪,鳳山溪
,上吳屋坑幹線,129016,3,霄裡溪,鳳山溪
,下排坑排水,129020,2,鳳山溪,鳳山溪
,燒炭窩坑幹線,129030,2,鳳山溪,鳳山溪
,太平窩坑幹線,129040,2,鳳山溪,鳳山溪
,桃子窩坑支線,129041,3,太平窩坑幹線,鳳山溪
,旱窩壢支線,129042,3,太平窩坑幹線,鳳山溪
,牛車窩壢支線,129043,3,太平窩坑幹線,鳳山溪
,車路壢支線,129044,3,太平窩坑幹線,鳳山溪
,榕樹下坑支線,129045,3,太平窩坑幹線,鳳山溪
,旱坑子幹線,129050,2,鳳山溪,鳳山溪
,石頭坑幹線,129060,2,鳳山溪,鳳山溪
,下內立坑溪線,129070,2,鳳山溪,鳳山溪
,上內立坑溪線,129080,2,鳳山溪,鳳山溪
30.0,頭前溪,130000,1,,頭前溪
,上坪溪,130010,2,頭前溪,頭前溪
,霞喀羅溪,130011,3,上坪溪,頭前溪
,油羅溪,130020,2,頭前溪,頭前溪
,新庄子排水,130021,3,油羅溪,頭前溪
,油羅幹線,130022,3,油羅溪,頭前溪
,內灣幹線,130023,3,油羅溪,頭前溪
,田寮坑幹線,130024,3,油羅溪,頭前溪
,那羅溪,130025,3,油羅溪,頭前溪
,柯子湖溪排水,130030,2,頭前溪,頭前溪
,溝貝幹線,130040,2,頭前溪,頭前溪
,隘口排水,130050,2,頭前溪,頭前溪
,崁下幹線,130060,2,頭前溪,頭前溪
,荳子埔幹線,130061,3,崁下幹線,頭前溪
,燥坑排水分線,13006A,4,荳子埔幹線,頭前溪
,鹿寮坑幹線,130070,2,頭前溪,頭前溪
,王爺坑幹線,130071,3,鹿寮坑幹線,頭前溪
,青窩壢幹線,130080,2,頭前溪,頭前溪
,油車窩幹線,130090,2,頭前溪,頭前溪
,下員山圳1號支線,1300A0,2,頭前溪,頭前溪
,麻園幹線,1300B0,2,頭前溪,頭前溪
,東大排水,1300C0,2,頭前溪,頭前溪
,何姓溪排水幹線,1300D0,2,頭前溪,頭前溪
,冷水坑溪,1300E0,2,頭前溪,頭前溪
31.0,客雅溪排水,131000,1,,客雅溪排水
,湳坑溪（寶1-2排水）,131010,2,客雅溪排水,客雅溪排水
,水尾溝（寶1-1排水）,131011,3,湳坑溪（寶1-2排水）,客雅溪排水
,油田支流（寶1-4排水）,131020,2,客雅溪排水,客雅溪排水
,南門溪,131030,2,客雅溪排水,客雅溪排水
,南門溪支線,131031,3,南門溪,客雅溪排水
,客雅溪延平支線,131040,2,客雅溪排水,客雅溪排水
32.0,鹽港溪排水,132000,1,,鹽港溪排水
,八股排水幹線,132010,2,鹽港溪排水,鹽港溪排水
33.0,新港溪,133000,1,,新港溪
,崎頂里排水,133010,2,新港溪,新港溪
34.0,中港溪,134000,1,,中港溪
,南庄溪,134010,2,中港溪,中港溪
,南河溪,134020,2,中港溪,中港溪
,東河溪,134030,2,中港溪,中港溪
,峨眉溪,134040,2,中港溪,中港溪
,大坪溪,134041,3,峨眉溪,中港溪
,峨眉排水,13404A,4,大坪溪,中港溪
